"","서울","부산","대구","인천","광주","대전","울산","수원","청주","제주","전주"
"..1134",2320,2410,2537.5,2500,2440,2250,2280,2650,2250,2180,2280
"..1135",2320,2410,2537.5,2500,2440,2250,2280,2650,2250,2180,2280
"..1136",2320,2427.5,2537.5,2500,2532.5,2250,2280,2630,2250,2180,2280
"..1137",2320,2252.5,2385,2500,2457.5,2250,2280,2630,2250,2180,2280
"..1138",2285,2252.5,2385,2500,2457.5,2250,2280,2630,1980,2180,2280
"..1139",2285,2352.5,2385,2500,2457.5,2305,2280,2600,1980,2180,2280
"..1140",2251.66666666667,2352.5,2385,2500,2457.5,2305,2280,2250,1980,2280,2280
"..1141",2251.66666666667,2352.5,2385,2500,2457.5,2305,2280,2250,1980,2280,2280
"..1142",2046.66666666667,2352.5,2302.5,1980,2270,2102.5,2280,2250,1980,2080,1950
"..1143",2046.66666666667,2352.5,2060,1980,2027.5,2102.5,2280,2250,1980,1950,1950
"..1144",2115,2315,2330,1980,2357.5,2177.5,2980,2250,1900,1950,1950
"..1145",2095,2265,2330,1980,2357.5,2177.5,2980,2250,1900,1950,1950
"..1146",2095,2265,2330,2200,2357.5,2177.5,2280,2250,1900,1950,1950
"..1147",2095,2190,2112.5,2200,2282.5,2177.5,2280,2250,1890,1950,1950
"..1148",2095,2265,2112.5,2200,2282.5,2177.5,2280,2250,1890,1950,1950
"..1149",2118.33333333333,2365,2117.5,2200,2315,2102.5,2280,2250,1890,1950,2080
"..1150",2118.33333333333,2365,2117.5,2200,2315,2102.5,2280,2250,1890,1950,2080
"..1151",2118.33333333333,2365,2117.5,2200,2315,2177.5,2280,2250,1890,1950,2080
"..1152",2068.33333333333,2065,2042.5,2200,2240,2027.5,1980,2250,1890,2080,2080
"..1153",2068.33333333333,2065,2042.5,2200,2240,2027.5,1980,2250,2100,1950,1950
"..1154",2056.66666666667,2040,2010,1980,2240,2027.5,1980,2250,2100,1950,1950
"..1155",2056.66666666667,2040,2010,1980,2240,2027.5,1980,2250,2200,1950,1950
"..1156",2156.66666666667,2190,2192.5,1950,2210,2210,2580,2250,2200,1950,2080
"..1157",2111.66666666667,2190,2192.5,1950,2210,2210,2580,2250,1980,1950,2080
"..1158",2106.66666666667,2190,2192.5,1950,2085,2210,2080,2250,1980,2080,2080
"..1159",2023.33333333333,2190,2067.5,1950,2085,2085,2080,2250,2380,2080,2080
"..1160",2045,2390,2337.5,1950,2285,2110,2880,2250,2480,2080,2080
"..1161",2166.66666666667,2165,2287.5,1950,2302.5,2235,2580,2250,2480,2180,2180
"..1162",2166.66666666667,2040,2162.5,2080,2302.5,2110,2080,2250,2480,2180,2180
"..1163",2076.66666666667,2335,2287.5,1980,2235,2085,1950,2250,2480,2180,2180
"..1164",2093.33333333333,2335,2287.5,1980,2235,2085,1950,2250,2180,2180,2180
"..1165",1970,2155,2287.5,1750,2077.5,2002.5,1950,2250,2180,2180,2180
"..1166",1986.66666666667,2055,2187.5,1750,2077.5,2077.5,2180,2160,2180,2180,2180
"..1167",1910,1955,2045,1750,2052.5,2077.5,2080,1700,1700,2280,2180
"..1168",1860,2040,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"..1169",1860,2040,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"..1170",1915,1915,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"..1171",1915,1915,1970,1950,2185,2060,2080,1700,1700,1980,1880
"..1172",1936.66666666667,1915,1970,2080,2060,2060,2080,1700,1700,1980,1880
"..1173",1953.33333333333,2105,2007.5,2080,2060,2060,2080,2570,2180,1980,1880
"..1174",1915,1897.5,1950,2500,2002.5,2002.5,1850,2180,2180,2810,1880
"..1175",1915,1897.5,1950,2080,2002.5,1952.5,1850,2180,2180,2180,1880
"..1176",1915,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,2180,1880
"..1177",1930,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,2180,1880
"..1178",1930,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,2180,1880
"..1179",1830,1947.5,1950,1780,2002.5,1877.5,1850,2180,2080,2180,1770
"..1180",1830,1947.5,1950,1780,1927.5,1877.5,1780,2180,2080,2180,1770
"..1181",1813.33333333333,2030,1962.5,1780,1927.5,1877.5,1780,2180,2080,2180,1770
